crop,temperature,humidity,rainfall,wind_speed,pressure,cloud_cover,soil_pH,nitrogen,phosphorus,potassium,organic_matter,season,month,success
Groundnut,23.2,67.7,4.18,3.3,1002.9,14.3,8.09,2,1,0,2.92,1,6,1
Rice,26.5,70.4,6.6,7.6,1003.4,29.1,6.62,2,2,1,0.62,2,3,1
Groundnut,25.9,65.3,4.04,2.2,1013.5,38.5,7.67,1,0,1,2.21,2,12,1
Groundnut,29.3,77.0,3.93,11.8,1007.2,42.5,6.69,1,1,1,0.58,1,10,0
Rice,30.1,73.3,5.28,9.4,1015.8,84.5,7.09,0,1,2,2.57,1,9,1
Jowar,26.1,47.3,1.72,5.8,1011.6,1.4,6.97,2,0,2,2.48,2,5,1
Pulses,21.8,55.4,3.83,2.8,1007.5,73.0,7.78,1,2,2,1.68,0,3,1
Wheat,17.2,45.7,3.18,7.7,1014.7,20.2,6.55,2,0,0,1.77,1,5,0
Groundnut,30.4,94.3,7.06,10.1,1009.9,45.7,7.66,1,1,2,1.31,2,12,1
Jowar,24.4,49.5,2.18,13.2,1005.7,0.7,6.69,2,0,1,1.06,2,10,1
Soybean,25.2,66.1,7.72,14.6,1003.4,28.5,7.14,0,2,0,2.94,1,7,1
Cotton,27.9,72.4,0.15,7.8,1022.9,55.3,7.37,2,2,2,1.42,0,6,1
Soybean,27.8,59.7,6.05,4.0,1022.7,85.8,6.69,2,2,1,1.78,2,4,1
Groundnut,26.4,68.0,0.71,6.4,1012.2,11.3,7.5,2,2,1,2.24,2,12,0
Pulses,26.1,65.7,3.16,4.5,1017.8,84.7,7.4,1,0,2,2.84,1,8,1
Maize,22.8,46.5,6.34,8.3,1007.5,44.8,6.01,0,0,0,0.55,1,5,0
Maize,30.0,57.7,2.08,9.1,1024.4,25.0,7.05,1,1,1,1.48,1,8,1
Rice,28.4,88.0,3.97,5.0,1015.0,49.9,6.93,2,0,0,2.99,1,5,0
Sugarcane,25.4,71.1,1.87,13.1,1008.4,55.7,7.62,2,1,1,2.83,1,8,1
Rice,26.5,75.6,4.57,11.1,1015.8,70.2,6.68,2,0,1,2.52,2,2,0
Jowar,22.3,62.9,1.61,2.4,1005.2,67.2,6.9,2,0,1,1.86,0,6,1
Pulses,36.0,53.8,4.49,5.5,1015.1,96.5,5.41,2,1,0,0.99,1,3,1
Groundnut,25.5,52.7,6.98,4.4,1012.3,68.8,6.65,0,1,1,0.89,1,6,0
Jowar,22.0,41.1,5.29,5.2,1018.2,35.6,8.7,0,1,0,1.35,0,1,1
Maize,28.1,71.0,3.04,10.4,1011.4,1.5,5.45,2,1,0,1.85,0,4,1
Soybean,28.6,65.2,5.32,3.7,1018.2,81.1,7.49,2,0,2,2.55,1,11,1
Rice,28.3,70.7,11.69,7.0,1007.4,26.1,5.85,2,1,0,1.37,2,8,1
Maize,29.8,69.5,3.84,9.4,1019.9,57.6,5.39,2,1,0,2.44,2,5,1
Wheat,26.6,63.6,1.06,8.9,1000.7,29.8,6.26,2,0,0,2.76,0,7,0
Maize,25.8,84.1,6.13,6.3,1010.8,67.3,5.6,0,2,0,0.78,0,10,1
Pulses,26.4,49.8,5.44,3.5,1015.1,61.8,6.88,0,1,2,1.57,1,9,1
Rice,26.3,59.2,8.24,13.4,1014.2,23.7,7.03,2,0,0,2.38,1,12,0
Bajra,31.2,59.8,1.86,3.4,1011.5,46.9,7.4,1,0,2,2.12,0,3,1
Jowar,26.0,38.3,0.89,2.2,1015.3,97.0,6.73,0,2,0,0.61,0,11,1
Cotton,30.5,49.3,1.6,14.9,1008.5,73.7,6.72,2,1,1,1.64,0,8,1
Pulses,33.6,57.6,0.0,14.7,1003.9,98.6,7.83,1,2,0,1.2,0,4,0
Bajra,33.0,59.8,1.7,13.3,1018.9,98.7,7.42,0,2,0,2.37,0,6,1
Wheat,20.1,53.9,3.86,2.7,1010.0,86.5,6.16,0,0,2,2.37,2,5,0
Groundnut,23.7,69.3,0.33,9.9,1016.6,61.8,6.89,2,2,1,1.75,1,6,1
Bajra,25.5,56.8,1.07,13.4,1021.8,40.3,8.74,2,2,2,2.39,0,2,1
Bajra,30.9,53.0,1.05,10.3,1008.7,72.6,7.64,0,1,0,2.46,1,7,1
Pulses,26.6,34.4,2.86,6.3,1012.8,63.3,7.31,2,2,2,0.82,2,11,1
Sugarcane,21.5,68.4,1.12,8.7,1013.4,22.4,8.34,0,0,1,1.2,0,6,1
Cotton,29.1,76.8,7.76,3.7,1011.6,33.0,7.59,2,0,1,2.5,0,6,0
Soybean,25.4,56.7,4.54,4.7,1011.6,61.8,7.61,2,1,1,2.37,1,11,0
Soybean,14.5,66.0,1.04,13.3,1016.3,35.4,7.38,2,2,0,2.34,1,7,0
Jowar,18.2,63.1,2.13,10.4,1025.9,73.7,5.31,2,0,2,1.45,0,6,1
Maize,24.1,74.3,7.82,3.3,1015.8,15.3,5.8,2,1,2,0.72,1,8,1
Groundnut,30.0,62.2,7.49,11.3,1004.3,83.9,6.94,0,1,1,1.31,2,4,1
Wheat,32.5,57.2,4.56,3.1,1016.8,50.6,7.19,2,0,2,1.98,1,2,0
Soybean,23.0,71.4,5.77,8.1,1004.1,93.0,7.62,1,1,1,2.83,2,9,1
Rice,24.9,79.9,12.74,12.3,1013.6,20.2,6.44,1,2,0,0.97,2,11,1
Pulses,24.6,69.1,7.27,11.3,1014.3,54.0,7.66,2,2,0,1.08,0,7,1
Rice,30.4,83.9,8.29,14.2,1014.4,62.8,6.06,1,2,2,2.05,1,7,1
Maize,28.9,72.2,3.3,11.3,1021.2,10.3,6.29,0,2,2,2.62,2,8,1
Cotton,27.9,34.3,2.23,11.3,1023.0,59.9,7.87,2,1,1,1.36,1,8,1
Groundnut,29.3,59.2,3.7,9.9,1013.5,69.7,6.1,0,2,1,2.43,2,10,1
Jowar,29.6,83.9,1.72,12.9,1012.4,12.5,6.21,0,0,2,1.28,2,8,1
Cotton,32.2,53.1,4.23,9.8,1011.9,86.4,6.88,1,1,2,1.37,1,11,1
Wheat,18.2,50.6,2.12,9.5,1014.6,16.6,6.72,0,0,0,2.45,2,6,1
